CSP,Short_Name,CSP_ID,CSP_Encode,CSP_Category
Chiralpak IB,IB,91423,0,2
Chirobiotic TAG,,91119,1,2
Chirobiotic T,,90879,2,2
Chirobiotic V,,90704,3,2
Whelk-O,,90589,4,2
Cyclobond I RN,,90357,5,2
Chiralcel OJ (Lux Cellulose-3),OJ,90246,6,2
Pirkle (R or S)-DNBPG,,90211,7,2
Chiralcel OD (Lux Cellulose-1),OD,45173,8,2
Chiralpak AS,AS,45167,9,2
Chiralcel OB,,44869,10,2
Chiralpak AD,AD,23735,11,2
Chirobiotic R,,15723,12,2
Chiral-AGP,,394,13,2
Chiralpak IC (Sepapak 5),IC,91518,14,1
Cyclobond I,,2,15,1
Chiralpak IA,IA,45172,16,1
Ultron-ES-OVMa,,3575,17,2